BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2018,2018,SORN,1,1,2,1,1,0,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2016,2016,Licensed,0,0,2,1,1,0,2,5,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2016,2016,SORN,6,5,4,5,4,6,3,1,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2015,2015,Licensed,66,75,73,83,82,92,109,117,141,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2015,2015,SORN,85,81,84,75,72,61,44,41,12,[z]
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2014,2014,Licensed,58,66,74,64,74,76,79,85,93,108
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,2014,2014,SORN,49,39,35,43,33,32,29,25,16,6
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,[x],2014,Licensed,3,2,2,3,1,1,1,1,0,1
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,[x],2014,SORN,1,1,1,0,0,0,0,0,1,0
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,[x],2012,Licensed,1,2,2,2,2,3,3,2,2,1
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,[x],2012,SORN,2,0,0,0,0,0,0,0,0,0
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2016,2016,Licensed,3,3,3,3,3,4,4,4,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2016,2016,SORN,0,0,0,1,1,0,0,0,[z],[z]
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2015,2015,Licensed,30,34,34,39,41,43,53,52,55,[z]
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2015,2015,SORN,20,18,17,14,13,9,3,1,1,[z]
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2014,2014,Licensed,103,109,107,112,117,124,139,144,147,157
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2014,2014,SORN,47,41,42,41,27,27,13,9,6,2
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2013,2013,Licensed,193,206,220,229,242,245,259,276,279,291
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2013,2013,SORN,96,87,78,71,57,52,42,37,27,18
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2012,2012,Licensed,66,68,75,76,76,80,84,91,100,96
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,2012,2012,SORN,30,32,28,25,24,19,17,13,6,7
Cars,FERRARI,FERRARI 488,488 GTB S-A,[x],2018,Licensed,1,1,2,2,2,1,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,[x],2017,Licensed,1,1,0,1,2,0,0,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,[x],2017,SORN,2,2,2,2,1,1,0,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,[x],2016,Licensed,1,1,0,0,0,0,1,1,[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,[x],2016,SORN,2,2,2,3,2,2,2,0,[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,[x],2015,Licensed,0,0,0,0,0,0,1,1,0,[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,[x],2012,Licensed,0,0,0,0,1,1,0,0,0,0
Cars,FERRARI,FERRARI 488,488 GTB S-A,2019,2019,Licensed,25,31,31,31,35,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2019,2019,SORN,7,4,4,5,2,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2018,2018,Licensed,96,112,127,125,126,145,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2018,2018,SORN,37,24,19,21,19,11,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2017,2017,Licensed,149,150,161,161,182,181,220,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2017,2017,SORN,43,46,42,36,31,29,6,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2016,2016,Licensed,160,154,177,178,192,214,223,264,[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2016,2016,SORN,58,54,43,44,35,17,19,5,[z],[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2015,2015,Licensed,7,9,6,8,10,12,14,17,24,[z]
Cars,FERRARI,FERRARI 488,488 GTB S-A,2015,2015,SORN,4,4,4,4,2,2,2,1,0,[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,[x],2020,Licensed,1,0,0,0,[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,[x],2020,SORN,2,2,2,1,[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,[x],2019,Licensed,3,3,2,1,0,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,[x],2019,SORN,1,1,1,2,0,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,[x],2018,Licensed,0,1,0,0,0,0,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,[x],2018,SORN,1,0,1,1,1,0,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2021,2021,Licensed,10,15,14,[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2021,2021,SORN,6,5,4,[z],[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2020,2020,Licensed,153,182,207,261,[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2020,2020,SORN,107,89,80,37,[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2019,2019,Licensed,140,142,162,170,221,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2019,2019,SORN,77,78,65,59,20,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2018,2018,Licensed,7,8,11,9,10,15,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 PISTA S-A,2018,2018,SORN,4,5,4,6,4,0,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,[x],2020,Licensed,2,1,1,0,[z],[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,[x],2019,Licensed,1,0,0,0,0,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,[x],2017,Licensed,1,1,1,1,1,1,0,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,[x],2017,SORN,1,1,1,1,1,0,0,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,[x],2016,Licensed,2,3,2,4,5,3,2,0,[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,[x],2016,SORN,2,1,2,1,0,0,0,0,[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,[x],2012,SORN,1,1,1,1,1,1,0,0,0,0
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2019,2019,Licensed,72,73,73,72,75,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2019,2019,SORN,9,5,5,7,4,[z],[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2018,2018,Licensed,238,242,260,251,257,281,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2018,2018,SORN,41,36,33,31,26,15,[z],[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2017,2017,Licensed,181,199,197,193,204,204,228,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2017,2017,SORN,30,26,28,29,22,23,6,[z],[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2016,2016,Licensed,51,54,56,54,56,58,64,68,[z],[z]
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,2016,2016,SORN,10,7,4,7,7,5,4,1,[z],[z]
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA,[x],2006,Licensed,2,2,3,4,2,2,2,2,1,1
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA,[x],2006,SORN,3,3,2,2,2,1,1,2,1,0
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA,[x],2005,Licensed,0,0,1,0,0,2,3,3,2,4
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA,[x],2005,SORN,6,6,6,7,7,5,5,4,3,0
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA,2006,2006,Licensed,1,0,0,0,0,0,0,0,0,0
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA,2006,2006,SORN,0,1,1,1,1,1,1,1,1,1
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,[x],2006,Licensed,0,0,0,0,0,0,0,1,1,1
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,[x],2006,SORN,1,1,1,1,1,1,1,0,0,0
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2008,2008,Licensed,1,0,0,1,1,1,1,1,0,0
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2008,2008,SORN,0,1,1,0,0,0,0,0,1,1
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2007,2007,Licensed,0,0,0,0,0,0,0,0,1,1
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2007,2007,SORN,1,1,1,1,1,1,1,1,0,1
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2006,2006,Licensed,14,16,13,10,14,16,17,18,21,22
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2006,2006,SORN,13,13,15,17,13,13,12,11,9,5
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2005,2005,Licensed,6,6,6,6,8,7,7,6,8,11
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA F1A,2005,2005,SORN,11,10,11,10,9,9,9,10,8,6
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2006,Licensed,0,0,1,0,0,2,1,2,0,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2006,SORN,2,2,1,2,2,0,1,0,0,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2005,Licensed,0,1,0,0,1,2,3,3,3,3
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2005,SORN,5,4,4,4,3,2,1,1,1,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2004,Licensed,2,3,5,4,4,5,6,5,5,2
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2004,SORN,3,4,4,4,4,2,2,2,0,1
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2003,Licensed,4,6,4,4,7,7,7,4,5,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2003,SORN,9,8,8,10,8,6,5,4,1,1
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2002,Licensed,0,1,1,4,5,3,4,5,5,2
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],2002,SORN,10,9,10,8,6,5,4,1,1,1
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],1999,Licensed,0,0,0,0,0,0,0,1,1,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],1999,SORN,1,1,1,1,1,1,1,0,0,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],1998,Licensed,0,0,0,0,0,0,0,1,1,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,[x],1998,SORN,1,1,1,1,1,1,1,0,0,0
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2005,2005,Licensed,6,11,13,10,11,7,9,12,10,14
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2005,2005,SORN,10,7,4,6,6,10,7,5,5,2
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2004,2004,Licensed,15,16,17,16,19,20,22,20,25,27
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2004,2004,SORN,15,13,14,16,13,13,11,11,7,7
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2003,2003,Licensed,35,33,35,36,34,40,33,42,46,48
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2003,2003,SORN,25,28,28,29,32,23,27,20,19,13
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2002,2002,Licensed,10,12,12,16,14,16,16,18,18,20
Cars,FERRARI,FERRARI 575M,575M MARANELLO,2002,2002,SORN,20,17,20,16,17,17,18,15,13,10
Cars,FERRARI,FERRARI 599,599 GTB FIORANO,[x],2011,Licensed,1,1,1,0,0,0,0,0,0,0
Cars,FERRARI,FERRARI 599,599 GTB FIORANO,[x],2010,Licensed,1,0,1,2,2,3,3,4,3,3
Cars,FERRARI,FERRARI 599,599 GTB FIORANO,[x],2010,SORN,3,3,3,2,2,1,1,0,0,0
Cars,FERRARI,FERRARI 599,599 GTB FIORANO,[x],2009,Licensed,1,1,1,3,2,2,1,1,0,1
Cars,FERRARI,FERRARI 599,599 GTB FIORANO,[x],2009,SORN,2,2,2,1,1,1,1,1,1,1
Cars,FERRARI,FERRARI 599,599 GTB FIORANO,[x],2008,Licensed,2,2,2,3,4,5,5,7,4,3
Cars,FERRARI,FERRARI 599,599 GTB FIORANO,[x],2008,SORN,4,5,5,3,2,2,1,0,0,0
