BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,1999,1999,Licensed,0,0,0,0,0,0,0,0,2,2
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,1999,1999,SORN,2,2,2,2,2,1,1,2,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,1993,1993,Licensed,1,0,0,0,0,0,0,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT,1993,1993,SORN,0,1,1,1,1,1,1,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,[x],1998,SORN,1,1,1,1,1,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,[x],1997,SORN,1,1,1,1,1,1,1,1,1,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,[x],1996,SORN,1,1,1,1,1,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,2014,2014,Licensed,0,0,0,0,0,0,0,0,1,2
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,2000,2000,Licensed,0,0,1,1,1,1,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,2000,2000,SORN,1,1,0,0,0,0,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,1999,1999,Licensed,0,1,1,1,1,1,1,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,1999,1999,SORN,2,1,1,1,1,1,1,1,1,2
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,1998,1998,Licensed,0,1,1,0,1,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI DIABLO,DIABLO VT ROADSTER,1998,1998,SORN,2,1,1,2,1,1,1,1,1,1
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2013,Licensed,2,2,2,0,2,3,2,2,0,0
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2013,SORN,3,3,3,2,2,0,0,0,0,0
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2012,Licensed,2,1,1,2,2,2,1,1,4,4
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2012,SORN,1,1,2,1,1,1,2,2,0,0
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2011,Licensed,1,0,1,0,0,2,2,2,2,1
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2011,SORN,3,4,2,2,2,1,1,1,0,0
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2010,Licensed,3,3,4,4,6,8,5,6,5,2
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2010,SORN,3,4,4,4,2,0,1,0,0,2
Cars,LAMBORGHINI,LAMBORGHINI GALLARDO,GALLARDO,[x],2009,Licensed,3,5,4,5,4,3,1,3,1,2
