BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,LicenceStatus,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2023,2023,SORN,1,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2022,2022,Licensed,46,53,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2022,2022,SORN,11,6,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2021,2021,Licensed,33,37,52,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2021,2021,SORN,36,29,18,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2020,2020,Licensed,3,3,4,10,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN 765LT,765LT V8 S-A,2020,2020,SORN,5,5,4,0,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ARTURA,ARTURA V6 PHEV S-A,2023,2023,Licensed,72,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ARTURA,ARTURA V6 PHEV S-A,2023,2023,SORN,6,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ARTURA,ARTURA V6 PHEV S-A,2022,2022,Licensed,9,60,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ARTURA,ARTURA V6 PHEV S-A,2022,2022,SORN,42,1,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ELVA,ELVA V8 S-A,2023,2023,Licensed,1,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ELVA,ELVA V8 S-A,2023,2023,SORN,1,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ELVA,ELVA V8 S-A,2021,2021,Licensed,2,3,5,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ELVA,ELVA V8 S-A,2021,2021,SORN,4,3,1,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ELVA,ELVA V8 S-A,2020,2020,Licensed,0,0,0,1,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN ELVA,ELVA V8 S-A,2020,2020,SORN,1,1,1,0,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2023,2023,Licensed,42,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2023,2023,SORN,9,[z],[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2022,2022,Licensed,25,25,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2022,2022,SORN,3,4,[z],[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2021,2021,Licensed,51,58,83,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2021,2021,SORN,25,25,3,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2020,2020,Licensed,39,42,47,52,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2020,2020,SORN,12,10,10,7,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2019,2019,Licensed,16,20,18,13,46,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN GT,GT V8 S-A,2019,2019,SORN,24,24,25,28,0,[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2021,SORN,1,1,0,[z],[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2020,Licensed,1,1,1,1,[z],[z],[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2018,Licensed,2,2,1,1,0,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2018,SORN,2,2,1,1,1,0,[z],[z],[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2017,Licensed,2,2,2,1,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2017,SORN,1,1,0,0,0,0,0,[z],[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2016,Licensed,2,3,2,2,2,2,1,0,[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2016,SORN,2,1,1,1,1,0,0,0,[z],[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2015,Licensed,4,4,3,4,6,6,2,3,0,[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2015,SORN,3,3,2,2,0,0,1,0,0,[z]
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2014,Licensed,4,7,6,6,5,7,4,6,3,1
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2014,SORN,8,5,6,5,5,5,4,0,0,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2013,Licensed,5,4,6,7,7,5,5,3,1,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2013,SORN,3,4,2,1,1,0,1,2,0,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2012,Licensed,7,7,7,7,6,4,1,3,4,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2012,SORN,5,4,2,2,2,4,4,2,0,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2011,Licensed,0,2,2,1,2,2,0,0,0,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2011,SORN,3,1,1,2,1,1,2,1,1,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2008,Licensed,1,1,1,0,0,0,1,0,2,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2008,SORN,1,1,1,1,1,1,1,1,0,0
Cars,MCLAREN,MCLAREN MODEL MISSING,MISSING,[x],2006,Licensed,1,0,0,0,1,1,1,1,0,0
